HEATFUEL,income $0-10000,income $10000-20000,income $20000-30000,income $30000-40000,income $40000-50000,income $50000-60000,income $60000-80000,income $80000-100000,income $100000-120000,income $120000-150000,income $150000-200000,income $200000-inf,Total
 Piped gas,214079.84790874523,195335.2435530086,211727.9411764706,227639.21568627452,172178.77094972067,166234.4827586207,332521.73913043475,191700.0,164505.0505050505,148673.94444444444,92424.28571428571,147995.47619047618,2265015.9980175323
 LP (liquid petroleum) gas,30152.09125475285,42464.18338108882,48860.294117647056,32011.764705882353,26201.117318435754,18068.96551724138,34007.90513833992,15035.29411764706,4838.383838383839,27387.305555555555,0.0,4774.047619047618,283801.3525640222
Fuel oil/kerosene,15076.045627376425,0.0,3257.3529411764707,3556.8627450980393,0.0,0.0,7557.312252964426,0.0,4838.383838383839,0.0,4621.214285714285,0.0,38907.17169071348
 Electricity,521631.1787072243,721891.11747851,609125.0,633121.568627451,467877.09497206705,328855.1724137931,566798.418972332,424747.0588235294,299979.797979798,246485.75000000003,226439.5,143221.42857142855,5190173.086546133
Electric heat pump,147745.247148289,234968.48137535815,218242.64705882355,209854.90196078434,168435.75418994416,140937.93103448275,192711.4624505929,206735.29411764708,154828.28282828286,105636.75,115530.35714285714,38192.38095238095,1933819.4902594425
Electric non-heat pump,373885.9315589353,486922.63610315183,390882.35294117645,423266.6666666666,299441.3407821229,187917.24137931035,374086.95652173914,218011.76470588232,145151.51515151514,140849.00000000003,110909.14285714286,105029.0476190476,3256353.596286691
Space heat non-heat pump fraction,0.7167630057803468,0.6745098039215686,0.6417112299465241,0.6685393258426966,0.64,0.5714285714285714,0.66,0.5132743362831858,0.48387096774193544,0.5714285714285715,0.4897959183673469,0.7333333333333333,0.6274075145446976
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Has running hot water with piped gas water heater,202019.0114068441,186842.40687679083,185669.11764705883,220525.49019607843,183407.82122905029,140937.93103448275,298513.83399209485,199217.64705882352,179020.20202020204,168236.30555555556,97045.5,181413.80952380953,2242849.0765407905
 Has running hot water with LP gas water heater,9045.627376425857,31140.401146131804,29316.176470588234,17784.313725490196,14972.067039106145,21682.758620689656,22671.93675889328,11276.470588235294,4838.383838383839,11737.416666666666,0.0,0.0,174465.55223061095
Fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Has running hot water with electric water heater,575904.9429657795,764355.3008595989,671014.7058823529,668690.1960784314,471620.1117318436,357765.5172413793,634814.229249012,428505.88235294115,295141.4141414141,242573.27777777778,226439.5,114577.14285714286,5451402.221137673
Electric heat pump,6334.954372623573,8407.908309455588,7381.161764705881,7355.5921568627455,5187.82122905028,3935.4206896551723,6982.956521739131,4713.564705882352,3246.5555555555547,2668.3060555555553,2490.8345,1260.3485714285714,59965.424432514395
Electric non-heat pump,569569.9885931559,755947.3925501433,663633.544117647,661334.6039215687,466432.29050279333,353830.0965517241,627831.2727272728,423792.3176470588,291894.85858585854,239904.97172222222,223948.6655,113316.79428571428,5391436.796705158
Water heat non-heat pump fraction,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Piped gas,159806.08365019012,141547.27793696275,117264.70588235294,92478.43137254902,89832.40223463687,68662.06896551725,151146.24505928854,82694.11764705883,62898.98989898991,62599.555555555555,64697.0,105029.04761904762,1198655.9258221493
 LP gas (liquid propane),21106.463878326995,31140.401146131804,52117.64705882353,24898.039215686273,7486.033519553072,25296.55172413793,18893.280632411068,22552.941176470587,9676.767676767678,19562.36111111111,4621.214285714285,4774.047619047618,242125.74904418195
 Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Electric,609072.2433460077,806819.4842406877,710102.9411764706,789623.5294117647,565195.530726257,426427.5862068965,785960.4743083004,533752.9411764706,406424.24242424243,340385.0833333334,249545.57142857145,190961.90476190476,6414271.532540907
,,,,,,,,
,,,,,,,,
,,,,,,,,
 Working piped gas powered clothes dryer,15076.045627376425,16985.67335243553,6514.705882352941,10670.588235294117,29944.13407821229,18068.96551724138,34007.90513833992,26311.764705882353,9676.767676767678,27387.305555555555,9242.42857142857,28644.285714285714,232530.5700551725
 Working LP (liquefied petroleum) gas clothes dryer,0.0,5661.89111747851,6514.705882352941,3556.8627450980393,7486.033519553072,3613.793103448276,3778.656126482213,0.0,4838.383838383839,0.0,4621.214285714285,0.0,40071.54061851117
 Working electric power clothes dryer,530676.8060836501,710567.335243553,739419.1176470588,771839.2156862745,598882.6815642457,469793.1034482759,876648.2213438735,605170.5882352941,459646.4646464646,395159.69444444444,305000.14285714284,272120.71428571426,6734924.085485992
